LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,USD,A,1970,26.84134,
AUS,GDPHRWKD,TOT,USD,A,1971,27.51163,
AUS,GDPHRWKD,TOT,USD,A,1972,28.11866,
AUS,GDPHRWKD,TOT,USD,A,1973,28.69898,
AUS,GDPHRWKD,TOT,USD,A,1974,28.23835,
AUS,GDPHRWKD,TOT,USD,A,1975,29.28379,
AUS,GDPHRWKD,TOT,USD,A,1976,29.77189,
AUS,GDPHRWKD,TOT,USD,A,1977,29.73715,
AUS,GDPHRWKD,TOT,USD,A,1978,30.99376,
AUS,GDPHRWKD,TOT,USD,A,1979,31.1521,
AUS,GDPHRWKD,TOT,USD,A,1980,31.5015,
AUS,GDPHRWKD,TOT,USD,A,1981,32.41037,
AUS,GDPHRWKD,TOT,USD,A,1982,32.79831,
AUS,GDPHRWKD,TOT,USD,A,1983,33.69755,
AUS,GDPHRWKD,TOT,USD,A,1984,34.43839,
AUS,GDPHRWKD,TOT,USD,A,1985,34.35259,
AUS,GDPHRWKD,TOT,USD,A,1986,34.37482,
AUS,GDPHRWKD,TOT,USD,A,1987,35.11309,
AUS,GDPHRWKD,TOT,USD,A,1988,35.00747,
AUS,GDPHRWKD,TOT,USD,A,1989,35.12383,
AUS,GDPHRWKD,TOT,USD,A,1990,35.68153,
AUS,GDPHRWKD,TOT,USD,A,1991,36.50174,
AUS,GDPHRWKD,TOT,USD,A,1992,37.62497,
AUS,GDPHRWKD,TOT,USD,A,1993,37.70663,
AUS,GDPHRWKD,TOT,USD,A,1994,37.7914,
AUS,GDPHRWKD,TOT,USD,A,1995,38.92517,
AUS,GDPHRWKD,TOT,USD,A,1996,40.27417,
AUS,GDPHRWKD,TOT,USD,A,1997,41.63818,
AUS,GDPHRWKD,TOT,USD,A,1998,42.95622,
AUS,GDPHRWKD,TOT,USD,A,1999,43.32228,
AUS,GDPHRWKD,TOT,USD,A,2000,43.81344,
AUS,GDPHRWKD,TOT,USD,A,2001,45.33848,
AUS,GDPHRWKD,TOT,USD,A,2002,46.02546,
AUS,GDPHRWKD,TOT,USD,A,2003,47.08946,
AUS,GDPHRWKD,TOT,USD,A,2004,46.9315,
AUS,GDPHRWKD,TOT,USD,A,2005,47.09968,
AUS,GDPHRWKD,TOT,USD,A,2006,47.34207,
AUS,GDPHRWKD,TOT,USD,A,2007,47.87304,
AUS,GDPHRWKD,TOT,USD,A,2008,49.52368,
AUS,GDPHRWKD,TOT,USD,A,2009,49.11172,
AUS,GDPHRWKD,TOT,USD,A,2010,49.88655,
AUS,GDPHRWKD,TOT,USD,A,2011,50.46569,
AUS,GDPHRWKD,TOT,USD,A,2012,51.67124,
AUS,GDPHRWKD,TOT,USD,A,2013,52.55875,
AUS,GDPHRWKD,TOT,USD,A,2014,52.78093,
AUS,GDPHRWKD,TOT,USD,A,2015,54.09965,
AUS,GDPHRWKD,TOT,USD,A,2016,53.94542,
AUS,GDPHRWKD,TOT,USD,A,2017,54.56104,
AUS,GDPHRWKD,TOT,USD,A,2018,54.57118,E
AUS,GDPHRWKD,TOT,USD,A,2019,55.23349,E
AUS,GDPHRWKD,TOT,USD,A,2020,56.2767,E
AUS,GDPHRWKD,TOT,USD,A,2021,56.83217,E
AUS,GDPHRWKD,TOT,USD,A,2022,55.94692,E
AUT,GDPHRWKD,TOT,USD,A,1995,51.1157,
AUT,GDPHRWKD,TOT,USD,A,1996,51.16736,
AUT,GDPHRWKD,TOT,USD,A,1997,51.61889,
AUT,GDPHRWKD,TOT,USD,A,1998,53.57072,
AUT,GDPHRWKD,TOT,USD,A,1999,54.52702,
AUT,GDPHRWKD,TOT,USD,A,2000,55.82424,
AUT,GDPHRWKD,TOT,USD,A,2001,56.53665,
AUT,GDPHRWKD,TOT,USD,A,2002,57.60844,
AUT,GDPHRWKD,TOT,USD,A,2003,58.06277,
AUT,GDPHRWKD,TOT,USD,A,2004,59.197,
AUT,GDPHRWKD,TOT,USD,A,2005,60.62351,
AUT,GDPHRWKD,TOT,USD,A,2006,62.23525,
AUT,GDPHRWKD,TOT,USD,A,2007,63.79701,
AUT,GDPHRWKD,TOT,USD,A,2008,63.79988,
AUT,GDPHRWKD,TOT,USD,A,2009,63.3523,
AUT,GDPHRWKD,TOT,USD,A,2010,64.31064,
AUT,GDPHRWKD,TOT,USD,A,2011,64.94877,
AUT,GDPHRWKD,TOT,USD,A,2012,65.6549,
AUT,GDPHRWKD,TOT,USD,A,2013,66.07724,
AUT,GDPHRWKD,TOT,USD,A,2014,66.31431,
AUT,GDPHRWKD,TOT,USD,A,2015,67.2618,
AUT,GDPHRWKD,TOT,USD,A,2016,67.17726,
AUT,GDPHRWKD,TOT,USD,A,2017,68.00381,
AUT,GDPHRWKD,TOT,USD,A,2018,68.32127,
AUT,GDPHRWKD,TOT,USD,A,2019,68.222,
AUT,GDPHRWKD,TOT,USD,A,2020,69.75167,
AUT,GDPHRWKD,TOT,USD,A,2021,69.3721,
AUT,GDPHRWKD,TOT,USD,A,2022,70.62558,
BEL,GDPHRWKD,TOT,USD,A,1970,27.49717,
BEL,GDPHRWKD,TOT,USD,A,1971,28.48586,
BEL,GDPHRWKD,TOT,USD,A,1972,30.46876,
BEL,GDPHRWKD,TOT,USD,A,1973,32.53201,
BEL,GDPHRWKD,TOT,USD,A,1974,33.92497,
BEL,GDPHRWKD,TOT,USD,A,1975,34.14103,
